Complex,Binding_Energy (kcal/mol),SCDI,SNCI
N-Methylformamide--2-Picoline,-8.70514,0.8289,0.039307435429911976
Diethanolamine--Cyclohexanone,-7.167419,0.872,0.028403610511735972
Alanine--Formaldehyde,-7.799799,0.8757,0.0535724419176641
Tryptophan--Benzaldehyde,-5.572867,0.8836,0.012686803561237348
Uracil--Vinyl_Acetate,-11.092015,0.8303,0.02776348745153705
Histidine--Urea,-11.581644,0.7468,0.05500222592242228
Ethylamine--2-Picoline,-4.065162,0.9446,0.015272993021480606
Pyrrolidine--Valerolactone,-6.021598,0.8944,0.01106059644401441
Pyrrolidine--Pyrimidine,-3.602922,0.9343,0.013927863750253875
Formic_Acid--Pyruvic_Acid,-9.483623,0.7861,0.04299415171623628
Butanoic_Acid--Gamma-Butyrolactone_(GBL),-11.569876,0.8849,0.021251364180478315
Butan-2-ol--Pyrazine,-4.960075,0.9128,0.019251386023184346
Cysteine--Anisole,-9.398061,0.904,0.03209405899009883
Serine--Carbon_Dioxide,-4.999635,0.8447,0.021982145451830477
Butan-2-ol--Butan-2-one_(MEK),-6.947587,0.8975,0.028719882164147125
Formic_Acid--Acetic_Acid,-16.859036,0.8847,0.1930584113755423
Hydroxylamine--Oxime,-4.639068,0.8778,0.034134700665417315
Barbituric_Acid--Morpholine,-8.994189,0.7998,0.0395116203898044
N-Methylformamide--Carbon_Dioxide,-2.082451,0.7437,0.005872706338813478
Chloroacetic_Acid--Phosphate_Ion,-57.516936,0.7665,0.3854476984042219
Lactic_Acid--Diethyl_Carbonate,-7.993299,0.8851,0.025858933869083545
Imidazole--Butan-2-one_(MEK),-6.033487,0.8231,0.019287645971608064
Propan-2-ol--Methyl_Acetate,-2.832338,0.8887,0.011272356989236485
Cytosine--Diethyl_Carbonate,50.075111,0.8237,0.005292202440151079
Thymine--Pyruvic_Acid,-11.390883,0.7976,0.037780101516374065
Catechol--Acetophenone,-8.194785,0.8579,0.033873968478589936
Butan-2-ol--Acetic_Acid,-6.268422,0.8956,0.026387847336643195
Glucose--Hexamethylphosphoramide_(HMPA),-8.546087,0.8592,0.026801663337771457
Propan-1-ol--Methanol,-5.205432,0.8751,0.026802162353392254
Dimethylamine--N-Methyl-2-pyrrolidone_(NMP),-6.82905,0.9,0.013201876642902075
Ethylene_Glycol--Propan-1-ol,-5.618057,0.8414,0.031038026565192483
Barbituric_Acid--Acetaldehyde,-7.747179,0.7328,0.04832642969778904
Glutamic_Acid--18-Crown-6,-11.052878,0.8935,0.03599453049411275
Threonine--Acetaldehyde,-8.871198,0.8336,0.029364033489719502
Butan-2-ol--18-Crown-6,-6.744413,0.9079,0.017397964166666842
Catechol--Acetamide,-10.916541,0.794,0.061700505650304535
Saccharin--Phosphate_Ion,-55.046458,0.6636,0.18235768303499944
Ethylamine--Dimethyl_Ether,-3.028686,0.9394,0.009905532353638159
Serine--Propan-1-ol,-8.064508,0.8366,0.018258611820804068
Hydrogen_Peroxide--Methyl_Acetate,-4.514089,0.8394,0.02347450101138026
"Salicylic_Acid--1,4-Dioxane",-8.512294,0.836,0.02417902905702212
Acetamide--Benzophenone,-8.000703,0.8862,0.006713643570937046
Pyrrole--Diethyl_Carbonate,-6.423325,0.9332,0.014282836218582113
N-Methylformamide--Formaldehyde,-3.81987,0.7311,0.012375334412920502
Glucose--Acetophenone,-6.570529,0.8428,0.02459502877274724
Hydrazine--Cyclohexanone,-5.070779,0.8923,0.013804466500335634
Chloroacetic_Acid--Hexamethylphosphoramide_(HMPA),-13.315576,0.9066,0.058197901107772565
Butylamine--Butan-2-one_(MEK),-4.805239,0.9424,0.013264837402077586
Propylamine--Anisole,-2.991625,0.9748,0.016112130183328594
Catechol--Dimethyl_Sulfoxide_(DMSO),-9.824477,0.7754,0.0364658709031827
Glycine--Benzaldehyde,-9.344346,0.8917,0.02984001238103626
Ethylene_Glycol--Acetaldehyde,-5.030057,0.785,0.03317389404311251
Imidazole--Pyrazine,-5.817643,0.824,0.060329100913116995
"Oxalic_Acid--N,N-Dimethylformamide_(DMF)",-17.233276,0.722,0.06038587471260402
Propan-2-ol--Acetic_Acid,-4.716393,0.8788,0.02066541420047251
