distance_D_A,distance_H_A,angle_D_H_A,Complex,intermolecular_wbo,molecular_dipole_moment,molecular_polarizability,nci_attractive_point_count,nci_mean_attractive_strength,nci_std_attractive_strength,nci_skew_attractive_strength,SNCI
2.85260300,1.82924200,177.08010200,N-Methylformamide--2-Picoline,0.06166352,7.30200000,114.18957700,72044,-0.04292097,0.54797719,-71.49550250,0.03930744
2.92683200,1.95858300,172.76073500,Diethanolamine--Cyclohexanone,0.02649198,5.35200000,141.76502000,74816,-0.04569992,0.49570734,-70.56320753,0.02840361
2.78478500,1.80248100,171.22804900,Alanine--Formaldehyde,0.05392726,1.81300000,74.05332500,78197,-0.05435067,0.57108228,-63.87992083,0.05357244
2.97748500,1.96806300,178.28020100,Tryptophan--Benzaldehyde,0.02424589,8.88400000,225.72090900,65955,-0.03640503,0.50197447,-76.74038456,0.01268680
2.81835500,1.79349000,177.05535500,Uracil--Vinyl_Acetate,0.05328871,6.16800000,124.81303700,72145,-0.04119427,0.49245404,-77.90563744,0.02776349
2.82613000,1.83862200,162.45402000,Histidine--Urea,0.04936387,4.73900000,136.36673700,78159,-0.04561150,0.69255539,-104.89269270,0.05500223
3.10681800,2.09814500,169.67688300,Ethylamine--2-Picoline,0.02047358,3.05400000,112.31405600,71620,-0.03344055,0.38296147,-63.48441524,0.01527299
3.33926000,2.64000100,125.78250300,Pyrrolidine--Valerolactone,0.01070618,3.69400000,108.80658800,76926,-0.04292183,0.45743694,-58.16498518,0.01106060
3.10219500,2.13633300,157.36643000,Pyrrolidine--Pyrimidine,0.01735546,3.25100000,114.72079600,70741,-0.04478297,0.50370472,-69.36422657,0.01392786
2.76396300,1.77284300,176.41834200,Formic_Acid--Pyruvic_Acid,0.05593508,2.25600000,71.50024300,74004,-0.05280607,0.61938422,-69.76528652,0.04299415
2.72621600,1.75196900,168.25319500,Butanoic_Acid--Gamma-Butyrolactone_(GBL),0.05376648,3.19200000,110.81605000,74419,-0.03357601,0.36145631,-55.86897757,0.02125136
2.91642900,1.94626600,175.75529900,Butan-2-ol--Pyrazine,0.03444804,2.12000000,115.08421700,73574,-0.04572732,0.47675413,-58.58262549,0.01925139
2.75268500,1.79679900,161.37232800,Cysteine--Anisole,0.05363736,1.09400000,159.26442400,74812,-0.04501418,0.52593919,-58.58862072,0.03209406
2.90913000,2.01616400,151.15675700,Serine--Carbon_Dioxide,0.01875558,2.87100000,79.28721900,83367,-0.05089953,0.55065610,-66.25163190,0.02198215
2.85308700,1.89140800,168.99170700,Butan-2-ol--Butan-2-one_(MEK),0.03467502,3.48200000,109.38265500,75764,-0.03304932,0.42135262,-89.73683585,0.02871988
2.64297800,1.63472600,172.74224800,Formic_Acid--Acetic_Acid,0.09837180,1.31100000,58.02481100,77008,-0.06611876,0.85241212,-129.18320059,0.19305841
3.27835100,2.70967300,115.33879300,Hydroxylamine--Oxime,0.03115751,0.75300000,46.58817000,82191,-0.04632158,0.66347754,-106.72650338,0.03413470
2.77672300,1.74351500,175.52542100,Barbituric_Acid--Morpholine,0.06593392,3.24000000,131.13597300,77318,-0.05673929,0.64261063,-67.14044345,0.03951162
3.23776000,2.23222100,178.27729800,N-Methylformamide--Carbon_Dioxide,0.00700348,4.79600000,58.58813700,84217,-0.03963200,0.49620614,-82.43594038,0.00587271
2.79902300,1.85001500,160.99240700,Lactic_Acid--Diethyl_Carbonate,0.04087406,3.17700000,125.58562600,78277,-0.04051118,0.76118667,-147.98562635,0.02585893
2.98195300,1.97206600,179.76025100,Imidazole--Butan-2-one_(MEK),0.02059188,8.19400000,102.75852000,78599,-0.03352689,0.43838181,-72.57822264,0.01928765
2.97808800,2.01863000,171.46180800,Propan-2-ol--Methyl_Acetate,0.01869308,2.23200000,91.07959400,76613,-0.04290737,0.45612944,-70.82322579,0.01127236
2.85828800,2.05993000,133.72648300,Thymine--Pyruvic_Acid,0.06027683,4.19300000,127.30037700,74419,-0.04809736,0.84489119,-159.83891992,0.03778010
2.77877700,1.80884800,169.48547800,Catechol--Acetophenone,0.04871363,4.14600000,169.28559800,81525,-0.05200236,0.60185036,-96.24004091,0.03387397
2.88357100,1.93894300,163.55552700,Butan-2-ol--Acetic_Acid,0.02797392,2.32500000,90.89403700,75691,-0.04585796,0.46209611,-70.94991700,0.02638785
2.89112200,1.91786100,172.21654400,Glucose--Hexamethylphosphoramide_(HMPA),0.02676265,5.52400000,231.28876800,72920,-0.03563939,0.40591338,-64.03133692,0.02680166
2.87751600,1.90670600,176.63150000,Propan-1-ol--Methanol,0.03277855,2.78900000,66.31285200,75457,-0.03165595,0.35241450,-64.89623393,0.02680216
3.21389200,2.40523400,135.80276700,Dimethylamine--N-Methyl-2-pyrrolidone_(NMP),0.00663644,3.45400000,106.96455800,71814,-0.04233124,0.47077088,-94.84548729,0.01320188
