Complex,reference_snci,f1_com_distance,f2_dha_angle,f3_max_inter_wbo,f4_total_dipole_moment,f5_iso_polarizability,f6_nci_attractive_points,f7_nci_mean,f8_nci_std_dev,f9_nci_skewness
N-Methylformamide--2-Picoline,0.03930744,2.852603,177.080102,0.06166352,7.302,114.189577,72044,-0.04292097,0.54797719,-71.4955025
Diethanolamine--Cyclohexanone,0.02840361,2.926832,172.760735,0.02649198,5.352,141.76502,74816,-0.04569992,0.49570734,-70.56320753
Alanine--Formaldehyde,0.05357244,2.784785,171.228049,0.05392726,1.813,74.053325,78197,-0.05435067,0.57108228,-63.87992083
Tryptophan--Benzaldehyde,0.0126868,2.977485,178.280201,0.02424589,8.884,225.720909,65955,-0.03640503,0.50197447,-76.74038456
Uracil--Vinyl_Acetate,0.02776349,2.818355,177.055355,0.05328871,6.168,124.813037,72145,-0.04119427,0.49245404,-77.90563744
Histidine--Urea,0.05500223,2.82613,162.45402,0.04936387,4.739,136.366737,78159,-0.0456115,0.69255539,-104.8926927
Ethylamine--2-Picoline,0.01527299,3.106818,169.676883,0.02047358,3.054,112.314056,71620,-0.03344055,0.38296147,-63.48441524
Pyrrolidine--Valerolactone,0.0110606,3.33926,125.782503,0.01070618,3.694,108.806588,76926,-0.04292183,0.45743694,-58.16498518
Pyrrolidine--Pyrimidine,0.01392786,3.102195,157.36643,0.01735546,3.251,114.720796,70741,-0.04478297,0.50370472,-69.36422657
Formic_Acid--Pyruvic_Acid,0.04299415,2.763963,176.418342,0.05593508,2.256,71.500243,74004,-0.05280607,0.61938422,-69.76528652
Butanoic_Acid--Gamma-Butyrolactone_(GBL),0.02125136,2.726216,168.253195,0.05376648,3.192,110.81605,74419,-0.03357601,0.36145631,-55.86897757
Butan-2-ol--Pyrazine,0.01925139,2.916429,175.755299,0.03444804,2.12,115.084217,73574,-0.04572732,0.47675413,-58.58262549
Cysteine--Anisole,0.03209406,2.752685,161.372328,0.05363736,1.094,159.264424,74812,-0.04501418,0.52593919,-58.58862072
Serine--Carbon_Dioxide,0.02198215,2.90913,151.156757,0.01875558,2.871,79.287219,83367,-0.05089953,0.5506561,-66.2516319
Butan-2-ol--Butan-2-one_(MEK),0.02871988,2.853087,168.991707,0.03467502,3.482,109.382655,75764,-0.03304932,0.42135262,-89.73683585
Formic_Acid--Acetic_Acid,0.19305841,2.642978,172.742248,0.0983718,1.311,58.024811,77008,-0.06611876,0.85241212,-129.18320059
Hydroxylamine--Oxime,0.0341347,3.278351,115.338793,0.03115751,0.753,46.58817,82191,-0.04632158,0.66347754,-106.72650338
Barbituric_Acid--Morpholine,0.03951162,2.776723,175.525421,0.06593392,3.24,131.135973,77318,-0.05673929,0.64261063,-67.14044345
N-Methylformamide--Carbon_Dioxide,0.00587271,3.23776,178.277298,0.00700348,4.796,58.588137,84217,-0.039632,0.49620614,-82.43594038
Lactic_Acid--Diethyl_Carbonate,0.02585893,2.799023,160.992407,0.04087406,3.177,125.585626,78277,-0.04051118,0.76118667,-147.98562635
